Date	Hour	Sales	Transactions	Items
1/1/2010	9	717.5	18	175
1/1/2010	10	2665.77	55	757
1/1/2010	11	2824.45	65	778
1/1/2010	12	2523.37	75	773
1/1/2010	13	3789.56	104	1091
1/1/2010	14	3826.99	99	1166
1/1/2010	15	4247.16	93	1257
1/1/2010	16	3924.1	118	1165
1/1/2010	17	3199.92	99	942
1/1/2010	18	3109.69	71	863
1/1/2010	19	2208.23	67	695
1/1/2010	20	1720.3	49	515
1/1/2010	21	1099.98	21	336
1/1/2010	22	17.43	2	12
1/2/2010	9	1717.4	41	522
1/2/2010	10	4592.98	89	1365
1/2/2010	11	4878.27	119	1345
1/2/2010	12	6134.2	135	1674
1/2/2010	13	7894.72	153	2080
1/2/2010	14	5757.33	133	1757
1/2/2010	15	8583.3	149	2376
1/2/2010	16	8949.47	169	2557
1/2/2010	17	7622.75	160	2138
1/2/2010	18	3543.33	102	1038
1/2/2010	19	2998.98	79	931
1/2/2010	20	3006.31	64	844
1/2/2010	21	133.24	5	27
1/3/2010	9	2380.43	49	672
1/3/2010	10	5041.82	101	1439
1/3/2010	11	7309.26	144	2035
1/3/2010	12	8692.51	165	2550
1/3/2010	13	7864.01	164	2307
1/3/2010	14	7516.19	147	2229
1/3/2010	15	6989.02	147	2001
1/3/2010	16	7658.84	174	2160
1/3/2010	17	8565.07	173	2385
1/3/2010	18	4423.07	101	1230
1/3/2010	19	3293.63	92	1035
1/3/2010	20	2232.04	80	688
1/3/2010	21	265.67	5	73
1/4/2010	9	974.71	31	252
1/4/2010	10	3513.41	83	892
1/4/2010	11	5778.57	100	1577
1/4/2010	12	5191.04	118	1386
1/4/2010	13	6208.5	142	1718
1/4/2010	14	5617.8	132	1594
1/4/2010	15	6032.1	138	1805
1/4/2010	16	7201.48	155	2128
1/4/2010	17	5036.78	140	1448
1/4/2010	18	5889.18	137	1736
1/4/2010	19	3689.72	104	1140
1/4/2010	20	2302.53	81	714
1/4/2010	21	2238.91	58	688
1/4/2010	22	40.4	2	9
1/5/2010	9	2685.8	56	642
1/5/2010	10	2457.22	67	676
1/5/2010	11	3893.49	94	1066
1/5/2010	12	5604.86	114	1465
1/5/2010	13	5412.18	112	1485
1/5/2010	14	5763.18	132	1625
1/5/2010	15	5222.53	133	1526
1/5/2010	16	5168.85	131	1497
1/5/2010	17	4811.82	146	1351
1/5/2010	18	6420.04	157	1873
1/5/2010	19	4712.24	116	1372
1/5/2010	20	3511.89	98	1053
1/5/2010	21	3131.87	69	879
1/5/2010	22	219	3	52
1/6/2010	9	1431.54	39	383
1/6/2010	10	2641.92	72	745
1/6/2010	11	5530.64	110	1498
1/6/2010	12	3737.84	126	1063
1/6/2010	13	5519.36	127	1633
1/6/2010	14	5279.36	116	1499
1/6/2010	15	5205.5	141	1476
1/6/2010	16	5074.25	139	1504
1/6/2010	17	4893.75	134	1362
1/6/2010	18	5517.64	136	1638
1/6/2010	19	4438.71	133	1361
1/6/2010	20	3189.92	84	855
1/6/2010	21	2497.58	68	696
1/6/2010	22	18.48	1	6
1/7/2010	9	1168.53	40	338
1/7/2010	10	2168.22	61	609
1/7/2010	11	2600.66	72	662
1/7/2010	12	4212.46	96	1144
1/7/2010	13	3710.39	99	1092
1/7/2010	14	4267.5	101	1220
1/7/2010	15	3362.99	90	993
1/7/2010	16	3890.92	100	1022
1/7/2010	17	4105.42	101	1202
1/7/2010	18	4085.62	91	1072
1/7/2010	19	3866.77	96	1153
1/7/2010	20	3177.71	71	962
1/7/2010	21	2379.84	60	638
1/7/2010	22	70.02	2	21
1/8/2010	9	1473.62	45	412
1/8/2010	10	4031.74	87	1221
1/8/2010	11	4007.74	94	1082
1/8/2010	12	4616.97	117	1248
1/8/2010	13	4716.68	118	1340
1/8/2010	14	5356.76	113	1482
1/8/2010	15	5242.53	107	1434
1/8/2010	16	5198.4	125	1506
1/8/2010	17	6709.7	128	1804
1/8/2010	18	5252.05	130	1512
1/8/2010	19	4055.18	93	1143
1/8/2010	20	3397.39	77	1023
1/8/2010	21	1766.64	41	481
1/8/2010	22	42.83	1	7
1/9/2010	9	3301.9	66	876
1/9/2010	10	5786.2	105	1595
1/9/2010	11	8467.4	147	2304
1/9/2010	12	7578.79	149	2155
1/9/2010	13	7287.57	182	2071
1/9/2010	14	8599.49	159	2406
1/9/2010	15	8843.97	166	2427
1/9/2010	16	9013.87	185	2477
1/9/2010	17	8016.09	148	2108
1/9/2010	18	6746.62	130	1857
1/9/2010	19	3459.68	94	1029
1/9/2010	20	3551.13	68	1034
1/9/2010	21	378.13	6	86
1/10/2010	9	4248.6	70	1146
1/10/2010	10	7657.34	120	1956
1/10/2010	11	7565.33	143	2173
1/10/2010	12	8882.83	169	2530
1/10/2010	13	8042.54	158	2362
1/10/2010	14	8736.33	192	2467
1/10/2010	15	9350.25	179	2716
1/10/2010	16	8428.44	160	2421
1/10/2010	17	8839.62	169	2552
1/10/2010	18	6315.05	131	1885
1/10/2010	19	3936.01	93	1233
1/10/2010	20	2768.23	73	838
1/10/2010	21	106.74	3	32
1/11/2010	9	1857.81	57	511
1/11/2010	10	3901.01	82	1096
1/11/2010	11	5121.86	102	1421
1/11/2010	12	4808.68	116	1342
1/11/2010	13	5415.98	127	1425
1/11/2010	14	5151.23	124	1396
1/11/2010	15	5712.61	120	1613
1/11/2010	16	6155.53	133	1831
1/11/2010	17	4997.53	143	1601
1/11/2010	18	5594.15	142	1597
1/11/2010	19	4477.07	130	1395
1/11/2010	20	4275.37	98	1255
1/11/2010	21	3527.55	63	835
1/11/2010	22	55.71	1	15
1/12/2010	8	-4.78	1	-1
1/12/2010	9	1531.09	54	480
1/12/2010	10	3168.18	81	848
1/12/2010	11	3390.06	100	928
1/12/2010	12	4942.09	121	1435
1/12/2010	13	4546.14	122	1256
1/12/2010	14	4786.85	112	1358
1/12/2010	15	4709.28	123	1416
1/12/2010	16	4540.66	115	1420
1/12/2010	17	6096.45	148	1698
1/12/2010	18	5470.54	147	1683
1/12/2010	19	5244.35	116	1564
1/12/2010	20	2454.27	87	720
1/12/2010	21	3391.85	87	945
1/12/2010	22	113.24	4	36
1/13/2010	8	20.08	3	3
1/13/2010	9	2587.57	69	645
1/13/2010	10	2809.59	65	732
1/13/2010	11	4101.99	96	1067
1/13/2010	12	4760.94	134	1419
1/13/2010	13	5037.77	104	1365
1/13/2010	14	5716.23	124	1483
1/13/2010	15	3578.57	97	1055
1/13/2010	16	4522.65	131	1347
1/13/2010	17	4673.44	128	1370
1/13/2010	18	5340.74	160	1657
1/13/2010	19	3013.25	100	894
1/13/2010	20	2756.91	87	855
1/13/2010	21	2813.2	81	844
1/13/2010	22	213.54	4	59
1/14/2010	8	5.97	2	3
1/14/2010	9	1907.28	67	506
1/14/2010	10	3581.57	76	1040
1/14/2010	11	4611.93	107	1195
1/14/2010	12	4003.99	110	1065
1/14/2010	13	5558.93	125	1630
1/14/2010	14	4941.67	146	1417
1/14/2010	15	4215.79	120	1230
1/14/2010	16	5812.54	140	1697
1/14/2010	17	4498.66	136	1393
