s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
8027	Member Class-C Share Purchase	15	MISC P/I	2013	11	747250	97	97
8027	Member Class-C Share Purchase	15	MISC P/I	2013	10	337000	57	58
8027	Member Class-C Share Purchase	15	MISC P/I	2014	1	236000	41	42
0	Change	0		2010	9	232656.66	72802	73078
0	Change	0		2010	10	220372.1	74758	75000
0	Change	0		2013	5	217495.36	81701	81877
0	Change	0		2011	8	215637.38	76688	77011
0	Change	0		2011	5	208998.78	77876	78050
0	Change	0		2012	5	202045.53	83902	84279
0	Change	0		2011	6	197736.97	74182	74384
0	Change	0		2011	9	194263.57	75468	75802
0	Change	0		2011	10	193959.54	77166	77514
8027	Member Class-C Share Purchase	15	MISC P/I	2013	12	193900	37	37
0	Change	0		2013	7	193325.38	80382	80571
0	Change	0		2012	6	193058.52	79546	79985
0	Change	0		2011	12	190371.6	72568	72929
0	Change	0		2012	2	186224.36	73044	73323
0	Change	0		2011	7	185817.4	75458	75729
0	Change	0		2012	1	185556.61	74298	74725
0	Change	0		2012	4	183524.44	81763	82280
0	Change	0		2013	8	183109.04	80128	80310
0	Change	0		2012	8	183061.74	79542	79754
0	Change	0		2011	2	180483.28	61395	61579
0	Change	0		2011	4	179241.45	75744	76018
0	Change	0		2012	7	178091.36	79390	79632
0	Change	0		2012	3	177725.09	81680	82124
0	Change	0		2010	8	176125.58	66374	66671
0	Change	0		2012	9	176049.42	77547	77691
0	Change	0		2010	11	173217.57	69505	69710
0	Change	0		2013	3	170013.87	76536	76746
0	Change	0		2013	4	169081.59	77000	77241
0	Change	0		2013	10	168572.68	76645	76858
0	Change	0		2011	11	168527.52	73492	73837
0	Change	0		2011	3	166444.44	71275	71652
0	Change	0		2013	6	166196.84	74881	75104
0	Change	0		2013	9	156288.19	77458	77704
0	Change	0		2012	10	156023.41	77211	77278
0	Change	0		2012	11	153315.51	73640	73718
0	Change	0		2010	12	150894.02	62233	62407
0	Change	0		2011	1	149545.47	64930	65059
0	Change	0		2013	11	142782.27	67782	67954
0	Change	0		2013	1	139473.63	72166	72293
0	Change	0		2012	12	137147.72	69578	69675
0	Change	0		2013	12	135855.69	64935	65067
0	Change	0		2013	2	121361.55	65021	65141
8027	Member Class-C Share Purchase	15	MISC P/I	2014	2	116500	11	11
8027	Member Class-C Share Purchase	15	MISC P/I	2014	3	82000	11	11
TAX	Tax	0		2012	4	51671.22	81771	82288
TAX	Tax	0		2013	5	51429.81	81786	81962
TAX	Tax	0		2012	5	50574.9	83912	84289
TAX	Tax	0		2012	3	50272.86	81679	82123
TAX	Tax	0		2013	10	49793.58	76740	76953
TAX	Tax	0		2011	12	49637.89	72568	72928
TAX	Tax	0		2011	4	49509.12	75744	76018
TAX	Tax	0		2013	3	49427.24	76576	76786
TAX	Tax	0		2012	12	49019.1	69588	69685
TAX	Tax	0		2013	4	48732.74	77143	77384
TAX	Tax	0		2012	10	48376.29	77227	77295
TAX	Tax	0		2013	12	47987.66	65015	65147
TAX	Tax	0		2013	7	47603.54	80410	80599
TAX	Tax	0		2011	10	47426.96	77166	77514
TAX	Tax	0		2013	8	47416.26	80196	80378
TAX	Tax	0		2012	9	47064.78	77557	77701
TAX	Tax	0		2013	1	47056.55	72182	72309
TAX	Tax	0		2013	9	46939.39	77588	77834
TAX	Tax	0		2012	6	46934.87	79557	79996
TAX	Tax	0		2012	1	46924.31	74297	74723
TAX	Tax	0		2012	7	46862.07	79399	79641
TAX	Tax	0		2011	3	46749.02	71275	71652
TAX	Tax	0		2011	5	46636.55	77876	78050
TAX	Tax	0		2010	10	46586.16	74758	75000
TAX	Tax	0		2012	8	46274.04	79556	79771
TAX	Tax	0		2013	6	46199.08	74921	75143
TAX	Tax	0		2012	11	46168	73662	73740
TAX	Tax	0		2012	2	46069.42	73044	73322
7025	Hot Bar Container	8	DELI	2017	1	46009.55	5725	6232
TAX	Tax	0		2011	11	45861.76	73492	73837
7025	Hot Bar Container	8	DELI	2016	12	45076.97	5588	6117
TAX	Tax	0		2011	9	45026.17	75468	75802
TAX	Tax	0		2011	7	44892.17	75459	75730
TAX	Tax	0		2011	8	44649.63	76688	77011
TAX	Tax	0		2010	9	44584.36	72802	73078
TAX	Tax	0		2010	12	44535.18	62233	62407
TAX	Tax	0		2010	11	44316.58	69505	69710
TAX	Tax	0		2011	6	43418.83	74182	74384
TAX	Tax	0		2013	2	43179.64	65100	65220
TAX	Tax	0		2011	1	43005.87	64930	65059
7025	Hot Bar Container	8	DELI	2016	11	42844.83	5393	5905
TAX	Tax	0		2013	11	42476.57	67892	68064
TAX	Tax	0		2011	2	40474.37	61395	61579
TAX	Tax	0		2010	8	38022.28	66374	66671
338	O.Blueberries WI pkg.	2	PRODUCE	2011	8	37502.5	6288	6644
3338320038	O.Strawberries 16oz pkg.	2	PRODUCE	2010	5	37406.22	7645	8675
338	O.Blueberries WI pkg.	2	PRODUCE	2012	8	34653.1	5504	5776
7025	Hot Bar Container	8	DELI	2016	10	34616.21	4591	4937
0	Change	0		2014	1	27535.06	12093	12141
151	Banana Organic	2	PRODUCE	2015	5	26009.9	12089	12414
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2012	5	25805.79	4149	4514
51	BANANA Organic	2	PRODUCE	2013	3	25767.04	11520	11838
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2013	5	25508.15	4655	5692
51	BANANA Organic	2	PRODUCE	2013	5	25308.12	11079	11410
51	BANANA Organic	2	PRODUCE	2010	4	25294.13	13672	14058
51	BANANA Organic	2	PRODUCE	2010	3	25075.35	12759	13074
8027	Member Class-C Share Purchase	15	MISC P/I	2014	11	25000	1	1
51	BANANA Organic	2	PRODUCE	2014	5	24967.46	11081	11453
151	Banana Organic	2	PRODUCE	2015	3	24904.74	11466	11770
51	BANANA Organic	2	PRODUCE	2014	3	24715.58	10658	10959
51	BANANA Organic	2	PRODUCE	2012	4	24654.14	11215	11482
51	BANANA Organic	2	PRODUCE	2012	3	24526.45	11105	11379
51	BANANA Organic	2	PRODUCE	2012	1	24393.98	10814	11134
51	BANANA Organic	2	PRODUCE	2010	5	24322.82	13383	13747
338	Blueberries Bayfield WI Org.pk	2	PRODUCE	2010	8	24140.98	3865	4044
51	BANANA Organic	2	PRODUCE	2011	4	23737.16	12935	13288
51	BANANA Organic	2	PRODUCE	2014	6	23733.34	11041	11363
151	Banana Organic	2	PRODUCE	2015	4	23687.68	11207	11514
55215900076	 * Manufacturers Coupon	4	REF GROCERY	2011	10	23670	1	-1
311	Cherry Bing/Red Organic	2	PRODUCE	2010	7	23550.61	2941	2962
51	BANANA Organic	2	PRODUCE	2013	6	23332.56	10492	10745
51	BANANA Organic	2	PRODUCE	2012	5	23163.48	10783	11066
51	BANANA Organic	2	PRODUCE	2014	1	23120.65	9644	9907
8026	Gift Card Sold	15	MISC P/I	2011	12	23117.38	379	459
51	BANANA Organic	2	PRODUCE	2011	12	23050.29	10092	10432
