Owner	Year	Month	Sales	Transactions	Items
3	2010	12	457.3899999	20737	220366
3	2010	11	452.2400002	23545	243879
3	2010	10	780.5700002	26300	265692
3	2010	9	446.1300002	26004	260493
3	2010	8	73341	28096	259856
3	2010	7	548909.72	26787	157189
3	2010	6	545874.09	26116	155235
3	2010	5	588370.29	27744	165690
3	2010	4	573217.19	26604	162993
3	2010	3	573829.67	26128	166161
3	2010	2	498591.34	21475	141665
3	2010	1	516402.33	22145	146471
3	2011	12	459.3499999	24821	252116
3	2011	11	430.1999998	25567	260573
3	2011	10	834.6900001	27627	277061
3	2011	9	490.02	27190	270534
3	2011	8	441.3599999	27701	270603
3	2011	7	390.4599999	27423	268834
3	2011	6	310.2699999	26530	261648
3	2011	5	697.03	27691	277842
3	2011	4	442.4899999	26557	272819
3	2011	3	474.4300002	25389	267287
3	2011	2	433.3800001	21202	227476
3	2011	1	602.7000001	21992	240331
3	2012	12	435.1600001	23085	232210
3	2012	11	472.3800001	24582	247717
3	2012	10	912.4400001	26180	259219
3	2012	9	552.6199999	27048	267779
3	2012	8	451.31	28409	274565
3	2012	7	395.5499999	27974	269553
3	2012	6	378.65	28347	275364
3	2012	5	454.27	29176	290154
3	2012	4	458.66	28452	291723
3	2012	3	507.8199998	28539	292539
3	2012	2	583.11	25127	262966
3	2012	1	602.9300002	25332	267892
3	2013	12	538.12	20450	210677
3	2013	11	35899.7	23376	225568
3	2013	10	829.3499999	25415	248878
3	2013	9	-253.5999999	26568	260057
3	2013	8	-663.99	28505	270626
3	2013	7	547.1	28222	270825
3	2013	6	544.1499999	26396	257725
3	2013	5	501.97	28097	274257
3	2013	4	684.99	26800	271128
3	2013	3	539.5900002	26479	273890
3	2013	2	468.64	21922	228386
3	2013	1	618.9300002	24277	253950
3	2014	12	511061.55	21301	124975
3	2014	11	522307.09	21729	131072
3	2014	10	543032.09	24825	139585
3	2014	9	554987.14	26173	144617
3	2014	8	552330.55	26846	146454
3	2014	7	563934.54	26745	147364
3	2014	6	552273.96	26503	143621
3	2014	5	590690.11	27604	152572
3	2014	4	551915.45	24820	145814
3	2014	3	579404.09	24433	153713
3	2014	2	490578.03	19743	128508
3	2014	1	422870.85	21091	152993
3	2015	12	464193.67	23711	115281
3	2015	11	511924.29	26300	128840
3	2015	10	537632.47	29162	139709
3	2015	9	552201.03	30561	145207
3	2015	8	586593.63	32297	153901
3	2015	7	578963.38	32232	150556
3	2015	6	585067.45	31989	151052
3	2015	5	613051.37	31829	156823
3	2015	4	604566.53	31003	155559
3	2015	3	604158.62	30054	155349
3	2015	2	527596.05	24596	134262
3	2015	1	533923.86	23135	136876
3	2016	12	454754.22	23253	113465
3	2016	11	462141.38	26040	117444
3	2016	10	455231.24	26684	117685
3	2016	9	430248.63	25856	112770
3	2016	8	428280.92	26741	114666
3	2016	7	429738.99	26536	114856
3	2016	6	424732.43	26338	111891
3	2016	5	453473.74	27591	120710
3	2016	4	462824.45	27056	121603
3	2016	3	488626.71	27101	126716
3	2016	2	440863.04	22831	112569
3	2016	1	487648.51	24133	124643
3	2017	1	479294.02	25365	125015
10000	2010	12	0	1	10
10000	2010	11	1.12	2	28
10000	2010	10	0	4	37
10000	2011	12	9.77E-15	3	22
10000	2011	11	1.78E-15	2	17
10000	2011	10	7.11E-15	1	14
10000	2011	7	-2.22E-16	1	5
10000	2011	3	-4.88E-15	1	7
10000	2011	2	0	1	8
10000	2011	1	0.07	4	39
10000	2012	12	7.11E-15	2	29
10000	2012	11	0	2	21
10000	2012	10	0.27	2	21
10000	2012	9	8.88E-16	2	23
10000	2012	8	0.41	6	68
10000	2012	7	0.6	5	38
10000	2012	6	-8.88E-16	2	20
10000	2012	5	3.55E-15	3	29
10000	2012	4	1.78E-15	2	13
10000	2012	3	0	3	18
10000	2012	2	-2.13E-14	2	29
10000	2012	1	0.33	3	18
10000	2013	12	1.42E-14	3	58
10000	2013	11	0.65	3	48
10000	2013	10	0.35	1	23
10000	2013	7	7.11E-15	2	28
10000	2013	6	1.83	3	70
10000	2013	5	0.16	4	67
10000	2013	4	1.01	4	51
10000	2013	3	7.11E-15	4	39
10000	2013	2	0.81	3	53
10000	2013	1	1.2	4	46
10000	2014	12	48.77	2	21
10000	2014	11	215	4	57
10000	2014	10	114.63	2	40
10000	2014	9	137.37	3	38
10000	2014	8	154.09	4	29
10000	2014	7	162.98	3	54
10000	2014	6	160.07	3	53
10000	2014	5	148.36	3	48
10000	2014	4	202.14	4	69
10000	2014	3	118.76	3	33
10000	2014	2	123.47	2	42
10000	2014	1	35.11	1	19
10000	2015	12	218.85	4	63
10000	2015	11	220.49	4	51
10000	2015	10	194.48	3	61
10000	2015	9	136.95	3	53
10000	2015	8	209.71	2	54
10000	2015	7	184.79	3	62
10000	2015	6	64.18	1	17
10000	2015	5	67.75	1	26
10000	2015	4	124.68	4	48
10000	2015	3	72.93	3	21
10000	2015	2	123.47	3	44
10000	2015	1	23.86	1	11
10000	2016	12	130.84	2	31
10000	2016	11	79.77	1	25
10000	2016	10	55.26	1	15
10000	2016	8	177.54	3	30
10000	2016	7	33.09	2	19
10000	2016	5	150.56	1	30
10000	2016	3	166.58	3	60
10000	2016	2	157.32	2	47
10000	2016	1	244.52	5	69
10000	2017	1	81.64	2	26
10001	2010	12	2	5	53
10001	2010	11	1	4	96
10001	2010	10	0.1	3	60
10001	2010	9	5.15	5	105
10001	2010	8	79.63	3	52
